OID_,OBJECTID,GEO_ID,TYPE_DESC,SCODE_NAME,LCODE_NAME,NAME
2998,4304752,1932.000000000000000,CGSP,1932,1932,ROBERT ST PLAYGROUND
2999,4304756,1673.000000000000000,CGSP,1673,1673,CENOTAPH TRAFFIC ISLAND
3000,4304757,163.000000000000000,CGSP,163,163,CATHEDRAL BLUFFS PARK
3001,4304761,1142.000000000000000,CGSP,1142,1142,WOBURN PARK - NORTH YORK
3002,4304762,1967.000000000000000,CGSP,1967,1967,SPADINA QUAY WETLANDS
3003,4305090,1246.000000000000000,CGSP,1246,1246,CONNAUGHT CIRCLE PARKETTE
3004,4305091,1251.000000000000000,CGSP,1251,1251,CRESCENTWOOD PARK
3005,4305092,89.000000000000000,CGSP,89,89,BERESFORD PARK
3006,4305093,1059.000000000000000,CGSP,1059,1059,TRINITY SQUARE
3007,4305094,607.000000000000000,CGSP,607,607,LARRY SEFTON PARK
3008,4305095,158.000000000000000,CGSP,158,158,CASHMAN PARK
3009,4304852,906.000000000000000,CGSP,906,906,ROYWOOD PARK
3010,4304853,934.000000000000000,CGSP,934,934,SENECA HILL PARK
3011,4305580,1030.000000000000000,CGSP,1030,1030,THE ELMS PARK
3012,4305581,446.000000000000000,CGSP,446,446,GREYSTONE PARK
3013,4305582,162.000000000000000,CGSP,162,162,CATARAQUI PARK
3014,4305583,28873.000000000000000,CGSP,28873,28873,WARDEN HILLTOP COMMUNITY CENTRE
3015,4305584,1244.000000000000000,CGSP,1244,1244,CONLANDS PARKETTE
3016,4305585,2033.000000000000000,CGSP,2033,2033,WILSON HEIGHTS PARKETTE
3017,4305927,27828.000000000000000,CGSP,27828,27828,BALMY BEACH COMMUNITY RECREATION CENTRE - Building Grounds
3018,4305928,1293.000000000000000,CGSP,1293,1293,ELM RIDGE DRIVE TRAFFIC ISLAND
3019,4305929,713.000000000000000,CGSP,713,713,MERRILL BRIDGE ROAD PARK
3020,4305035,76.000000000000000,CGSP,76,76,BEDFORD PARKETTE
3021,4304981,1117.000000000000000,CGSP,1117,1117,WEXFORD PARK
3022,4304982,1182.000000000000000,CGSP,1182,1182,BATHURST - WILSON PARKETTE
3023,4304983,513.000000000000000,CGSP,513,513,HUMBERTOWN PARK
3024,4304984,716.000000000000000,CGSP,716,716,MIKE BELA PARK
3025,4304985,1373.000000000000000,CGSP,1373,1373,KENDLETON DRIVE ISLAND W
3026,4304986,1370.000000000000000,CGSP,1370,1370,KENDLETON DRIVE ISLAND C
3027,4304987,27829.000000000000000,CGSP,27829,27829,BARBARA FRUM COMMUNITY CENTRE - Building Grounds
3028,4304938,1199.000000000000000,CGSP,1199,1199,BLYTHDALE GREENBELT
3029,4305652,366.000000000000000,CGSP,366,366,FENSIDE PARK
3030,4305586,1185.000000000000000,CGSP,1185,1185,BAYVIEW - YORK MILLS PARKETTE
3031,4305587,1555.000000000000000,CGSP,1555,1555,UPPER JUNCTION PARK
3032,4305037,391.000000000000000,CGSP,391,391,FUTURA PARKETTE
3033,4305038,279.000000000000000,CGSP,279,279,DIXON PARK
3034,4305039,83.000000000000000,CGSP,83,83,BEMERSYDE DRIVE CUL-DE-SAC
3035,4304958,160.000000000000000,CGSP,160,160,CASSELS AVENUE PLAYGROUND
3036,4305110,460.000000000000000,CGSP,460,460,HARDING PARK
3037,4305111,1141.000000000000000,CGSP,1141,1141,WOBURN AVENUE PLAYGROUND
3038,4304988,1449.000000000000000,CGSP,1449,1449,ORFORD PLACE PARKETTE
3039,4304989,1240.000000000000000,CGSP,1240,1240,DON MILLS TRAIL
3040,4304990,535.000000000000000,CGSP,535,535,IVAN FORREST GARDENS
3041,4304854,90.000000000000000,CGSP,90,90,BERNER TRAIL PARK
3042,4304881,469.000000000000000,CGSP,469,469,HAVENDALE PARK
3043,4305588,1287.000000000000000,CGSP,1287,1287,EDENBROOK HILL TRAFFIC ISLAND
3044,4305589,322.000000000000000,CGSP,322,322,PAUL MARTEL PARK
3045,4305590,1278.000000000000000,CGSP,1278,1278,DUNDAS - DUPONT TRAFFIC ISLAND
3046,4305591,865.000000000000000,CGSP,865,865,REGENT PARK ATHLETIC GROUNDS
3047,4305592,59812.000000000000000,CGSP,59812,59812,TRCA LANDS ( 52)
3048,4305593,1078.000000000000000,CGSP,1078,1078,VIMY RIDGE PARKETTE
3049,4304959,834.000000000000000,CGSP,834,834,PRICEFIELD ROAD PLAYGROUND
3050,4305040,914.000000000000000,CGSP,914,914,S.A.D.R.A. PARK
